captured_at,source_time,race_date,track,race_no,minutes_before,bet_type,combination,odds_low,odds_high,popularity,source_url
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,4-10,3.8,3.8,1,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,3-10,5.5,5.5,2,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,3-4,7.8,7.8,3,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,10-11,8.0,8.0,4,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,4-11,18.0,18.0,5,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,3-11,20.3,20.3,6,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,10-12,20.7,20.7,7,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,3-5,27.3,27.3,8,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,5-10,28.4,28.4,9,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,4-12,32.6,32.6,10,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,3-12,34.1,34.1,11,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,4-5,40.3,40.3,12,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,6-10,42.6,42.6,13,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,4-6,56.8,56.8,14,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,9-10,58.3,58.3,15,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,11-12,63.3,63.3,16,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,4-9,69.3,69.3,17,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,7-10,69.3,69.3,17,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,5-11,71.5,71.5,19,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,1-10,73.9,73.9,20,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,1-3,76.4,76.4,21,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,3-6,76.4,76.4,21,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,1-4,79.2,79.2,23,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,3-7,85.2,85.2,24,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,4-7,88.7,88.7,25,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,6-12,116.7,116.7,26,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,5-12,123.2,123.2,27,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,1-11,158.4,158.4,28,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,3-9,158.4,158.4,28,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,8-10,170.5,170.5,30,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,9-11,170.5,170.5,30,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,4-8,184.8,184.8,32,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,6-11,184.8,184.8,32,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,7-12,184.8,184.8,32,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,3-8,221.7,221.7,35,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,1-5,246.4,246.4,36,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,1-12,246.4,246.4,36,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,5-6,246.4,246.4,36,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,8-11,246.4,246.4,36,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,2-4,277.2,277.2,40,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,2-10,316.8,316.8,41,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
2026-09-22 17:35:00,17:34,2026-09-22,kochi,6,15,馬連,5-9,316.8,316.8,41,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/OddsUmLenFuku?k_babaCode=31&k_raceDate=2026%2F09%2F22&k_raceNo=6
